year,generation,generation_smooth
1981,5341.0,5141.0
1982,4941.0,4276.333333333333
1983,2547.0,3095.3333333333335
1984,1798.0,2443.6666666666665
1985,2986.0,3052.0
1986,4372.0,4011.3333333333335
1987,4676.0,4618.333333333333
1988,4807.0,4904.333333333333
1989,5230.0,5252.333333333333
1990,5720.0,5686.0
1991,6108.0,5916.916666666667
1992,5922.75,5922.75
1993,5737.5,5737.5
1994,5552.25,5552.25
1995,5367.0,5367.0
1996,5181.75,5181.75
1997,4996.5,4996.5
1998,4811.25,4811.25
1999,4626.0,4626.0
2000,4440.75,4440.75
2001,4255.5,4255.5
2002,4070.25,4070.25
2003,3885.0,4411.75
2004,5280.0,4891.25
2005,5508.75,5508.75
2006,5737.5,5737.5
2007,5966.25,5966.25
2008,6195.0,6346.083333333333
2009,6877.0,6689.0
2010,6995.0,7145.666666666667
2011,7565.0,7543.333333333333
2012,8070.0,7835.333333333333
2013,7871.0,7263.333333333333
2014,5849.0,6231.333333333333
2015,4974.0,5156.333333333333
2016,4646.0,4884.666666666667
2017,5034.0,4908.0
2018,5044.0,5428.666666666667
2019,6208.0,5758.333333333333
2020,6023.0,6253.333333333333
2021,6529.0,6437.666666666667
2022,6761.0,7025.333333333333
2023,7786.0,7273.5
